item_id,title,description,category,user_id,rating,views,purchases
prod_05,Evergreen Yoga Mat,"Eco-friendly yoga mat with extra cushioning, grip texture, and easy-clean material.",Sports,user_02,4,90,11
prod_05,Evergreen Yoga Mat,"Eco-friendly yoga mat with extra cushioning, grip texture, and easy-clean material.",Sports,user_03,4,85,12
prod_05,Evergreen Yoga Mat,"Eco-friendly yoga mat with extra cushioning, grip texture, and easy-clean material.",Sports,user_04,5,108,16
prod_05,Evergreen Yoga Mat,"Eco-friendly yoga mat with extra cushioning, grip texture, and easy-clean material.",Sports,user_05,3,77,9
prod_05,Evergreen Yoga Mat,"Eco-friendly yoga mat with extra cushioning, grip texture, and easy-clean material.",Sports,user_06,5,112,15
prod_06,Beacon Smart Speaker,"Compact smart speaker with voice control, room-filling sound, and multi-room pairing.",Electronics,user_01,4,100,13
prod_06,Beacon Smart Speaker,"Compact smart speaker with voice control, room-filling sound, and multi-room pairing.",Electronics,user_02,5,115,17
prod_06,Beacon Smart Speaker,"Compact smart speaker with voice control, room-filling sound, and multi-room pairing.",Electronics,user_03,5,118,18
prod_06,Beacon Smart Speaker,"Compact smart speaker with voice control, room-filling sound, and multi-room pairing.",Electronics,user_04,4,103,14
prod_06,Beacon Smart Speaker,"Compact smart speaker with voice control, room-filling sound, and multi-room pairing.",Electronics,user_05,4,97,12
prod_06,Beacon Smart Speaker,"Compact smart speaker with voice control, room-filling sound, and multi-room pairing.",Electronics,user_06,4,101,13
prod_07,Bluebird City Guide,"A compact city guide with neighborhood tips, transit routes, and hidden local favorites.",Books,user_01,3,59,7
prod_07,Bluebird City Guide,"A compact city guide with neighborhood tips, transit routes, and hidden local favorites.",Books,user_02,4,67,9
prod_07,Bluebird City Guide,"A compact city guide with neighborhood tips, transit routes, and hidden local favorites.",Books,user_03,4,71,8
prod_07,Bluebird City Guide,"A compact city guide with neighborhood tips, transit routes, and hidden local favorites.",Books,user_04,3,55,6
prod_07,Bluebird City Guide,"A compact city guide with neighborhood tips, transit routes, and hidden local favorites.",Books,user_05,5,83,11
prod_07,Bluebird City Guide,"A compact city guide with neighborhood tips, transit routes, and hidden local favorites.",Books,user_06,4,76,10
